STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
        722;18960101;    1;   0.0;   0;  70;-999;eor
        722;18960102;    1;   2.1;   4;  65;-999;eor
        722;18960103;    1;   1.8;   4;  60;-999;eor
        722;18960104;    1;   0.9;   4;  60;-999;eor
        722;18960105;    1;   0.0;   0;  60;-999;eor
        722;18960106;    1;   0.0;   0;  55;-999;eor
        722;18960107;    1;   0.5;   4;  55;-999;eor
        722;18960108;    1;   8.4;   4;  55;-999;eor
        722;18960109;    1;   0.7;   4;  65;-999;eor
        722;18960110;    1;   0.0;   0;  65;-999;eor
        722;18960111;    1;   1.3;   4;  65;-999;eor
        722;18960112;    1;   2.8;   4;  65;-999;eor
        722;18960113;    1;   8.7;   4;  70;-999;eor
        722;18960114;    1;   3.6;   4;  85;-999;eor
        722;18960115;    1;  13.2;   4;  85;-999;eor
        722;18960116;    1;  24.9;   4;  95;-999;eor
        722;18960117;    1;  12.5;   4; 110;-999;eor
        722;18960118;    1;   1.5;   4; 110;-999;eor
        722;18960119;    1;   0.0;   0; 100;-999;eor
        722;18960120;    1;   0.7;   4;  90;-999;eor
        722;18960121;    1;   0.0;   0;  90;-999;eor
        722;18960122;    1;   2.6;   4;  90;-999;eor
        722;18960123;    1;   0.7;   4;  90;-999;eor
        722;18960124;    1;   0.3;   4;  90;-999;eor
        722;18960125;    1;   7.8;   4;  90;-999;eor
        722;18960126;    1;   4.2;   4; 100;-999;eor
        722;18960127;    1;   0.0;   0; 105;-999;eor
        722;18960128;    1;   0.8;   4; 100;-999;eor
        722;18960129;    1;   0.6;   4; 100;-999;eor
        722;18960130;    1;   3.3;   4; 100;-999;eor
        722;18960131;    1;   2.5;   4; 100;-999;eor
        722;18960201;    1;   0.6;   4; 100;-999;eor
        722;18960202;    1;   1.2;   4; 100;-999;eor
        722;18960203;    1;   0.0;   0; 100;-999;eor
        722;18960204;    1;   0.0;   0;  90;-999;eor
        722;18960205;    1;   3.6;   4;  90;-999;eor
        722;18960206;    1;   2.3;   4;  90;-999;eor
        722;18960207;    1;   0.0;   0;  85;-999;eor
        722;18960208;    1;   0.0;   0;  75;-999;eor
        722;18960209;    1;   1.8;   4;  65;-999;eor
        722;18960210;    1;   0.9;   4;  50;-999;eor
